#Test run data with cache size 50 and 1000 puts/gets.
#
TestRun	FIFO-1-CLIENTS	FIFO-10-CLIENTS	FIFO-25-CLIENTS	LRU-1-CLIENTS	LRU-10-CLIENTS	LRU-25-CLIENTS	LFU-1-CLIENTS	LFU-10-CLIENTS	LFU-25-CLIENTS	
1-SERVER 3955 67073	191308 3291 67289 187962 3408 65523 191330
10-SERVER 3556 57658 170851 3488 55927 171832 3649 56470 171539
25-SERVER 4125 55981 165725 3531 56422 166677 3733 57892 166392 
